sepal_length,sepal_width,petal_length,petal_width,species
4.84,2.32,1.76,0.12,Iris-setosa
5.71,4.17,1.48,0.37,Iris-setosa
5.28,3.11,1.58,0.12,Iris-setosa
4.38,3.26,1.49,0.54,Iris-setosa
4.46,4.03,1.19,0.3,Iris-setosa
4.77,3.14,1.14,0.35,Iris-setosa
5.5,3.23,1.44,0.52,Iris-setosa
5.36,3.33,1.23,0.54,Iris-setosa
5.17,2.76,1.24,0.5,Iris-setosa
4.37,4.38,1.12,0.5,Iris-setosa
4.89,3.33,1.79,0.31,Iris-setosa
5.11,2.4,1.0,0.22,Iris-setosa
5.32,2.55,1.1,0.31,Iris-setosa
5.27,3.8,1.16,0.14,Iris-setosa
5.71,2.85,1.77,0.53,Iris-setosa
5.46,2.65,1.74,0.48,Iris-setosa
5.2,3.01,1.24,0.16,Iris-setosa
5.06,3.53,1.32,0.34,Iris-setosa
4.85,3.65,1.81,0.18,Iris-setosa
4.87,2.6,1.56,0.46,Iris-setosa
5.7,2.89,1.86,0.13,Iris-setosa
5.2,2.42,1.8,0.36,Iris-setosa
5.3,4.05,1.14,0.12,Iris-setosa
5.62,2.96,1.12,0.33,Iris-setosa
5.2,2.37,1.25,0.12,Iris-setosa
4.93,4.18,1.88,0.42,Iris-setosa
4.54,4.2,1.46,0.18,Iris-setosa
5.68,3.89,1.66,0.45,Iris-setosa
4.6,2.74,1.62,0.21,Iris-setosa
4.96,3.94,1.71,0.33,Iris-setosa
5.49,4.06,1.59,0.21,Iris-setosa
4.71,2.96,1.11,0.24,Iris-setosa
4.61,3.26,1.82,0.15,Iris-setosa
5.38,3.74,1.09,0.56,Iris-setosa
5.15,3.06,1.68,0.23,Iris-setosa
5.34,2.38,1.76,0.32,Iris-setosa
5.26,2.76,1.61,0.49,Iris-setosa
5.01,3.6,1.41,0.55,Iris-setosa
5.05,4.07,1.72,0.31,Iris-setosa
4.65,3.15,1.74,0.21,Iris-setosa
5.09,3.99,1.32,0.42,Iris-setosa
4.67,2.53,1.71,0.15,Iris-setosa
4.71,4.1,1.31,0.59,Iris-setosa
5.77,2.86,1.04,0.45,Iris-setosa
4.98,2.51,1.64,0.12,Iris-setosa
5.61,2.59,1.11,0.19,Iris-setosa
5.74,3.76,1.72,0.3,Iris-setosa
4.8,2.79,1.43,0.38,Iris-setosa
5.25,2.84,1.85,0.18,Iris-setosa
5.75,2.33,1.43,0.27,Iris-setosa
4.97,3.5,1.39,0.31,Iris-setosa
5.4,3.74,1.75,0.22,Iris-setosa
5.21,3.53,1.33,0.34,Iris-setosa
4.77,2.6,1.19,0.15,Iris-setosa
5.32,3.69,1.86,0.46,Iris-setosa
4.38,4.16,1.78,0.32,Iris-setosa
5.18,4.35,1.48,0.55,Iris-setosa
4.42,2.7,1.4,0.39,Iris-setosa
5.52,4.38,1.35,0.12,Iris-setosa
5.5,3.57,1.18,0.35,Iris-setosa
5.41,3.92,1.45,0.25,Iris-setosa
5.76,3.69,1.37,0.24,Iris-setosa
5.4,2.81,1.15,0.36,Iris-setosa
4.73,3.62,1.11,0.43,Iris-setosa
4.72,2.3,1.11,0.57,Iris-setosa
5.6,2.79,1.7,0.4,Iris-setosa
5.76,3.08,1.61,0.13,Iris-setosa
4.89,4.32,1.49,0.24,Iris-setosa
4.48,3.78,1.58,0.29,Iris-setosa
5.73,2.35,1.27,0.56,Iris-setosa
4.78,2.83,1.48,0.51,Iris-setosa
4.45,4.28,1.72,0.19,Iris-setosa
5.37,3.11,1.36,0.49,Iris-setosa
5.74,2.57,1.38,0.34,Iris-setosa
4.86,3.06,1.05,0.44,Iris-setosa
4.95,2.71,1.73,0.5,Iris-setosa
5.03,2.93,1.57,0.24,Iris-setosa
4.65,3.83,1.04,0.15,Iris-setosa
4.31,2.62,1.06,0.6,Iris-setosa
4.73,2.61,1.22,0.57,Iris-setosa
5.08,3.07,1.79,0.3,Iris-setosa
4.8,2.74,1.34,0.26,Iris-setosa
5.32,2.91,1.52,0.13,Iris-setosa
4.59,3.16,1.84,0.29,Iris-setosa
5.3,2.84,1.11,0.13,Iris-setosa
4.76,2.63,1.16,0.48,Iris-setosa
4.32,3.47,1.34,0.35,Iris-setosa
5.14,2.96,1.27,0.47,Iris-setosa
5.61,2.7,1.09,0.55,Iris-setosa
4.82,3.46,1.32,0.16,Iris-setosa
5.18,3.4,1.18,0.33,Iris-setosa
5.5,3.54,1.09,0.37,Iris-setosa
5.35,3.96,1.57,0.18,Iris-setosa
5.37,3.72,1.02,0.31,Iris-setosa
4.8,3.71,1.19,0.4,Iris-setosa
5.67,3.98,1.83,0.59,Iris-setosa
4.32,3.61,1.37,0.53,Iris-setosa
4.68,4.36,1.55,0.5,Iris-setosa
4.43,2.69,1.68,0.11,Iris-setosa
5.53,2.33,1.59,0.28,Iris-setosa
5.22,3.76,1.31,0.15,Iris-setosa
4.4,3.54,1.47,0.47,Iris-setosa
5.06,3.19,1.36,0.11,Iris-setosa
4.8,4.35,1.79,0.26,Iris-setosa
5.18,4.08,1.4,0.11,Iris-setosa
4.41,3.37,1.87,0.45,Iris-setosa
4.41,2.7,1.69,0.52,Iris-setosa
5.23,3.65,1.03,0.51,Iris-setosa
5.48,2.84,1.64,0.21,Iris-setosa
4.36,2.72,1.16,0.27,Iris-setosa
4.93,3.37,1.43,0.24,Iris-setosa
4.34,3.57,1.36,0.25,Iris-setosa
5.6,3.87,1.77,0.35,Iris-setosa
4.5,3.76,1.19,0.32,Iris-setosa
4.4,4.03,1.11,0.55,Iris-setosa
5.6,3.28,1.67,0.41,Iris-setosa
5.5,3.21,1.71,0.33,Iris-setosa
5.71,3.32,1.42,0.49,Iris-setosa
5.53,3.46,1.16,0.33,Iris-setosa
5.75,3.88,1.73,0.12,Iris-setosa
5.0,3.66,1.75,0.12,Iris-setosa
5.58,3.45,1.18,0.26,Iris-setosa
4.72,3.41,1.05,0.18,Iris-setosa
5.52,2.58,1.21,0.33,Iris-setosa
5.08,3.9,1.4,0.49,Iris-setosa
5.23,2.54,1.14,0.32,Iris-setosa
4.9,3.86,1.52,0.29,Iris-setosa
4.56,2.78,1.52,0.31,Iris-setosa
5.07,2.66,1.6,0.53,Iris-setosa
4.69,3.33,1.88,0.27,Iris-setosa
5.19,2.49,1.55,0.14,Iris-setosa
5.74,3.8,1.71,0.45,Iris-setosa
5.18,3.24,1.77,0.58,Iris-setosa
5.05,4.26,1.52,0.37,Iris-setosa
4.98,2.74,1.0,0.22,Iris-setosa
5.06,3.1,1.4,0.59,Iris-setosa
4.83,3.25,1.12,0.12,Iris-setosa
5.46,3.5,1.68,0.17,Iris-setosa
5.16,2.83,1.21,0.11,Iris-setosa
4.5,2.95,1.11,0.59,Iris-setosa
4.76,2.57,1.18,0.39,Iris-setosa
4.4,4.11,1.87,0.22,Iris-setosa
4.98,2.35,1.58,0.31,Iris-setosa
4.71,2.73,1.59,0.31,Iris-setosa
4.57,3.75,1.51,0.53,Iris-setosa
4.48,3.95,1.61,0.16,Iris-setosa
5.34,3.23,1.85,0.17,Iris-setosa
5.26,3.1,1.86,0.26,Iris-setosa
5.74,4.19,1.24,0.5,Iris-setosa
5.79,2.83,1.39,0.36,Iris-setosa
4.74,2.33,1.2,0.24,Iris-setosa
4.97,2.66,1.79,0.45,Iris-setosa
4.43,3.67,1.59,0.58,Iris-setosa
4.3,2.82,1.84,0.57,Iris-setosa
5.38,3.91,1.08,0.36,Iris-setosa
4.65,2.68,1.73,0.17,Iris-setosa
5.0,4.27,1.17,0.59,Iris-setosa
5.79,3.47,1.15,0.26,Iris-setosa
4.94,2.95,1.25,0.59,Iris-setosa
4.53,3.84,1.0,0.4,Iris-setosa
5.67,2.9,1.17,0.43,Iris-setosa
5.37,3.74,1.29,0.23,Iris-setosa
5.73,4.24,1.41,0.52,Iris-setosa
4.98,3.19,1.14,0.31,Iris-setosa
5.11,2.35,1.4,0.49,Iris-setosa
5.32,3.63,1.82,0.11,Iris-setosa
5.14,3.95,1.49,0.26,Iris-setosa
4.5,4.16,1.42,0.54,Iris-setosa
5.18,3.72,1.72,0.43,Iris-setosa
4.9,3.38,1.72,0.29,Iris-setosa
4.88,2.5,1.82,0.15,Iris-setosa
5.27,3.17,1.37,0.44,Iris-setosa
4.4,3.55,1.69,0.51,Iris-setosa
4.56,4.18,1.59,0.54,Iris-setosa
5.03,3.44,1.83,0.55,Iris-setosa
4.97,2.88,1.35,0.29,Iris-setosa
4.73,2.86,1.77,0.13,Iris-setosa
5.32,2.66,1.31,0.13,Iris-setosa
4.7,3.91,1.8,0.21,Iris-setosa
5.0,3.29,1.79,0.48,Iris-setosa
5.07,3.71,1.76,0.1,Iris-setosa
4.9,4.21,1.67,0.37,Iris-setosa
5.09,3.03,1.47,0.43,Iris-setosa
4.93,3.8,1.78,0.18,Iris-setosa
4.98,3.16,1.62,0.22,Iris-setosa
5.26,4.14,1.38,0.56,Iris-setosa
5.79,2.52,1.21,0.58,Iris-setosa
5.74,2.51,1.01,0.18,Iris-setosa
5.79,2.68,1.45,0.52,Iris-setosa
4.33,3.57,1.25,0.53,Iris-setosa
4.73,3.74,1.61,0.21,Iris-setosa
4.35,3.16,1.26,0.5,Iris-setosa
5.5,3.26,1.55,0.4,Iris-setosa
5.54,3.19,1.25,0.23,Iris-setosa
5.1,3.24,1.4,0.15,Iris-setosa
5.38,2.75,1.18,0.31,Iris-setosa
4.64,3.53,1.33,0.32,Iris-setosa
5.11,2.73,1.14,0.54,Iris-setosa
4.95,3.17,1.03,0.35,Iris-setosa
5.13,3.47,1.64,0.19,Iris-setosa
4.68,4.0,1.85,0.17,Iris-setosa
5.05,2.75,1.05,0.26,Iris-setosa
4.52,3.79,1.48,0.17,Iris-setosa
4.31,4.0,1.16,0.4,Iris-setosa
4.81,3.53,1.28,0.14,Iris-setosa
4.63,2.69,1.39,0.43,Iris-setosa
4.7,2.33,1.47,0.4,Iris-setosa
5.74,3.54,1.42,0.39,Iris-setosa
5.69,4.04,1.29,0.22,Iris-setosa
4.69,3.36,1.67,0.35,Iris-setosa
4.4,3.82,1.73,0.24,Iris-setosa
5.3,3.2,1.8,0.52,Iris-setosa
5.09,3.75,1.8,0.35,Iris-setosa
4.77,3.88,1.2,0.29,Iris-setosa
5.6,3.82,1.36,0.21,Iris-setosa
4.83,2.9,1.16,0.47,Iris-setosa
4.68,3.25,1.35,0.59,Iris-setosa
4.89,2.47,1.08,0.4,Iris-setosa
5.2,3.18,1.39,0.13,Iris-setosa
5.07,3.36,1.13,0.15,Iris-setosa
4.49,2.51,1.55,0.2,Iris-setosa
4.68,2.66,1.86,0.53,Iris-setosa
4.65,2.99,1.19,0.35,Iris-setosa
4.33,3.71,1.47,0.55,Iris-setosa
4.55,3.99,1.71,0.16,Iris-setosa
4.9,2.66,1.23,0.23,Iris-setosa
5.13,3.16,1.85,0.16,Iris-setosa
5.76,2.78,1.7,0.27,Iris-setosa
4.51,4.1,1.28,0.43,Iris-setosa
5.15,3.29,1.45,0.47,Iris-setosa
4.43,3.7,1.81,0.13,Iris-setosa
4.51,3.8,1.39,0.3,Iris-setosa
4.51,3.36,1.11,0.34,Iris-setosa
5.45,2.84,1.43,0.6,Iris-setosa
5.33,4.07,1.37,0.48,Iris-setosa
4.36,2.56,1.18,0.3,Iris-setosa
5.57,3.03,1.59,0.45,Iris-setosa
5.18,3.05,1.52,0.27,Iris-setosa
4.43,4.38,1.11,0.14,Iris-setosa
5.62,2.93,1.59,0.26,Iris-setosa
4.89,2.85,1.31,0.31,Iris-setosa
5.38,3.37,1.85,0.12,Iris-setosa
5.05,3.53,1.83,0.12,Iris-setosa
5.16,4.09,1.22,0.54,Iris-setosa
4.33,3.84,1.84,0.43,Iris-setosa
4.96,2.39,1.83,0.34,Iris-setosa
4.34,3.75,1.43,0.16,Iris-setosa
4.62,2.44,1.52,0.41,Iris-setosa
5.06,4.02,1.77,0.41,Iris-setosa
4.32,3.76,1.38,0.38,Iris-setosa
5.27,3.04,1.83,0.17,Iris-setosa
5.31,2.31,1.83,0.16,Iris-setosa
4.44,3.0,1.34,0.21,Iris-setosa
5.18,3.23,1.03,0.26,Iris-setosa
5.52,3.75,1.65,0.45,Iris-setosa
4.77,2.51,1.25,0.52,Iris-setosa
5.77,3.34,1.01,0.17,Iris-setosa
4.78,3.52,1.07,0.57,Iris-setosa
4.85,4.22,1.7,0.48,Iris-setosa
5.21,3.62,1.57,0.41,Iris-setosa
5.13,4.37,1.66,0.49,Iris-setosa
5.61,2.75,1.08,0.34,Iris-setosa
5.07,4.04,1.4,0.39,Iris-setosa
5.09,2.38,1.55,0.51,Iris-setosa
4.54,3.55,1.53,0.18,Iris-setosa
4.49,4.36,1.35,0.21,Iris-setosa
4.56,3.7,1.55,0.42,Iris-setosa
4.43,4.18,1.35,0.26,Iris-setosa
4.99,3.12,1.78,0.56,Iris-setosa
4.76,4.11,1.7,0.57,Iris-setosa
4.67,3.51,1.25,0.51,Iris-setosa
4.31,3.49,1.31,0.26,Iris-setosa
5.27,4.09,1.55,0.53,Iris-setosa
4.7,3.39,1.41,0.11,Iris-setosa
5.14,3.69,1.53,0.47,Iris-setosa
5.16,2.44,1.1,0.4,Iris-setosa
4.71,2.47,1.39,0.38,Iris-setosa
4.79,3.81,1.58,0.27,Iris-setosa
5.43,3.66,1.57,0.38,Iris-setosa
4.32,3.76,1.34,0.57,Iris-setosa
5.53,3.53,1.23,0.2,Iris-setosa
4.81,3.3,1.27,0.36,Iris-setosa
4.55,4.35,1.1,0.57,Iris-setosa
5.67,3.4,1.65,0.32,Iris-setosa
5.25,3.02,1.27,0.39,Iris-setosa
5.05,3.52,1.26,0.28,Iris-setosa
4.43,2.41,1.23,0.14,Iris-setosa
4.46,4.01,1.03,0.43,Iris-setosa
4.71,4.13,1.44,0.25,Iris-setosa
5.08,3.1,1.51,0.16,Iris-setosa
5.8,3.19,1.31,0.46,Iris-setosa
4.85,4.05,1.41,0.46,Iris-setosa
4.46,4.08,1.66,0.21,Iris-setosa
4.52,2.96,1.88,0.23,Iris-setosa
4.98,2.36,1.36,0.39,Iris-setosa
5.73,3.39,1.74,0.37,Iris-setosa
4.36,2.96,1.52,0.58,Iris-setosa
5.59,2.78,1.2,0.2,Iris-setosa
5.68,4.09,1.7,0.3,Iris-setosa
5.06,3.28,1.23,0.35,Iris-setosa
4.35,2.58,1.8,0.48,Iris-setosa
4.93,3.39,1.33,0.47,Iris-setosa
5.48,3.9,1.65,0.2,Iris-setosa
4.81,3.29,1.3,0.48,Iris-setosa
4.79,2.59,1.36,0.59,Iris-setosa
4.64,3.59,1.39,0.14,Iris-setosa
5.03,3.77,1.46,0.54,Iris-setosa
4.73,2.48,1.84,0.29,Iris-setosa
5.16,3.96,1.29,0.46,Iris-setosa
4.5,2.91,1.13,0.51,Iris-setosa
4.63,3.81,1.85,0.36,Iris-setosa
5.11,3.27,1.29,0.34,Iris-setosa
5.2,4.37,1.84,0.53,Iris-setosa
5.63,3.28,1.59,0.55,Iris-setosa
4.89,4.32,1.37,0.4,Iris-setosa
5.36,4.3,1.22,0.47,Iris-setosa
5.08,2.86,1.7,0.38,Iris-setosa
5.29,2.98,1.43,0.41,Iris-setosa
4.91,2.72,1.87,0.36,Iris-setosa
5.4,3.16,1.32,0.3,Iris-setosa
4.91,3.44,1.49,0.35,Iris-setosa
4.5,3.34,1.15,0.16,Iris-setosa
5.7,3.57,1.59,0.3,Iris-setosa
5.66,3.64,1.69,0.28,Iris-setosa
5.74,4.02,1.77,0.19,Iris-setosa
4.71,2.9,1.24,0.53,Iris-setosa
4.35,2.46,1.25,0.2,Iris-setosa
4.65,3.98,1.51,0.1,Iris-setosa
4.94,3.16,1.1,0.44,Iris-setosa
5.35,3.81,1.66,0.1,Iris-setosa
5.73,4.01,1.81,0.11,Iris-setosa
5.7,4.0,1.75,0.15,Iris-setosa
5.41,4.32,1.61,0.39,Iris-setosa
5.72,3.23,1.54,0.34,Iris-setosa
5.7,2.46,1.45,0.44,Iris-setosa
5.49,3.52,1.82,0.57,Iris-setosa
4.4,3.14,1.02,0.26,Iris-setosa
5.11,4.21,1.76,0.16,Iris-setosa
4.44,3.54,1.48,0.23,Iris-setosa
5.65,4.25,1.36,0.55,Iris-setosa
4.88,3.85,1.43,0.16,Iris-setosa
5.69,3.25,1.66,0.28,Iris-setosa
4.33,2.51,1.45,0.44,Iris-setosa
4.8,3.76,1.63,0.45,Iris-setosa
5.04,4.22,1.44,0.33,Iris-setosa
4.6,2.95,1.04,0.42,Iris-setosa
4.67,2.94,1.69,0.26,Iris-setosa
4.66,2.66,1.7,0.16,Iris-setosa
4.98,3.36,1.62,0.42,Iris-setosa
5.52,2.39,1.27,0.24,Iris-setosa
4.52,2.91,1.28,0.36,Iris-setosa
5.3,3.1,1.65,0.27,Iris-setosa
4.74,3.44,1.02,0.14,Iris-setosa
4.93,4.28,1.65,0.14,Iris-setosa
5.57,3.84,1.55,0.51,Iris-setosa
4.91,2.77,1.46,0.37,Iris-setosa
5.11,3.49,1.85,0.55,Iris-setosa
5.61,3.98,1.85,0.15,Iris-setosa
4.7,3.34,1.76,0.35,Iris-setosa
5.42,2.59,1.23,0.47,Iris-setosa
4.55,3.04,1.24,0.27,Iris-setosa
5.36,3.07,1.5,0.15,Iris-setosa
5.51,3.08,1.58,0.46,Iris-setosa
4.61,4.16,1.55,0.31,Iris-setosa
4.57,4.28,1.68,0.2,Iris-setosa
4.81,4.0,1.63,0.48,Iris-setosa
4.96,3.8,1.35,0.21,Iris-setosa
5.25,4.35,1.28,0.33,Iris-setosa
5.31,3.44,1.76,0.48,Iris-setosa
4.39,4.4,1.68,0.53,Iris-setosa
5.28,4.1,1.1,0.27,Iris-setosa
5.61,2.72,1.07,0.49,Iris-setosa
5.55,2.64,1.77,0.44,Iris-setosa
5.08,4.04,1.38,0.2,Iris-setosa
4.73,3.36,1.48,0.5,Iris-setosa
5.49,3.52,1.7,0.2,Iris-setosa
4.38,4.13,1.07,0.22,Iris-setosa
5.34,3.16,1.79,0.25,Iris-setosa
4.32,2.93,1.52,0.29,Iris-setosa
5.1,4.14,1.82,0.23,Iris-setosa
4.99,3.45,1.85,0.6,Iris-setosa
4.65,3.83,1.34,0.1,Iris-setosa
4.31,3.27,1.44,0.11,Iris-setosa
5.33,2.92,1.5,0.25,Iris-setosa
4.55,3.16,1.21,0.37,Iris-setosa
4.6,3.37,1.14,0.44,Iris-setosa
5.43,2.53,1.42,0.14,Iris-setosa
5.2,2.86,1.47,0.36,Iris-setosa
5.69,3.45,1.52,0.3,Iris-setosa
5.72,3.93,1.26,0.52,Iris-setosa
4.95,4.04,1.74,0.19,Iris-setosa
5.35,2.91,1.27,0.25,Iris-setosa
5.39,2.78,1.0,0.46,Iris-setosa
4.56,2.52,1.21,0.29,Iris-setosa
5.01,2.39,1.87,0.46,Iris-setosa
4.78,2.97,1.4,0.41,Iris-setosa
4.52,2.7,1.77,0.23,Iris-setosa
4.87,4.13,1.6,0.27,Iris-setosa
5.33,2.34,1.66,0.34,Iris-setosa
5.52,4.3,1.83,0.55,Iris-setosa
5.07,3.06,1.42,0.44,Iris-setosa
5.63,2.73,1.83,0.51,Iris-setosa
5.77,4.15,1.25,0.15,Iris-setosa
4.47,2.91,1.55,0.5,Iris-setosa
5.65,3.61,1.01,0.19,Iris-setosa
4.45,3.06,1.45,0.12,Iris-setosa
4.82,2.68,1.58,0.33,Iris-setosa
5.04,3.2,1.86,0.21,Iris-setosa
5.07,3.85,1.5,0.56,Iris-setosa
4.87,3.27,1.08,0.4,Iris-setosa
4.73,2.64,1.49,0.37,Iris-setosa
4.41,3.77,1.56,0.19,Iris-setosa
5.0,3.81,1.48,0.3,Iris-setosa
4.78,3.58,1.85,0.44,Iris-setosa
4.41,3.27,1.8,0.15,Iris-setosa
5.78,4.29,1.07,0.57,Iris-setosa
4.84,4.07,1.38,0.32,Iris-setosa
5.25,3.93,1.03,0.4,Iris-setosa
4.58,3.03,1.31,0.33,Iris-setosa
4.8,2.53,1.13,0.12,Iris-setosa
5.01,4.3,1.1,0.57,Iris-setosa
5.4,3.64,1.58,0.51,Iris-setosa
4.46,3.36,1.63,0.39,Iris-setosa
5.55,2.45,1.62,0.37,Iris-setosa
4.87,3.01,1.56,0.55,Iris-setosa
5.04,4.03,1.36,0.15,Iris-setosa
4.39,2.41,1.34,0.27,Iris-setosa
5.38,3.86,1.05,0.21,Iris-setosa
4.71,3.45,1.13,0.17,Iris-setosa
5.72,3.99,1.16,0.3,Iris-setosa
4.83,3.96,1.46,0.16,Iris-setosa
5.41,3.13,1.24,0.29,Iris-setosa
5.05,3.02,1.22,0.3,Iris-setosa
4.33,3.92,1.15,0.12,Iris-setosa
5.28,3.93,1.73,0.35,Iris-setosa
4.61,3.85,1.63,0.22,Iris-setosa
5.66,2.52,1.88,0.53,Iris-setosa
5.33,4.27,1.65,0.2,Iris-setosa
4.96,2.45,1.35,0.47,Iris-setosa
4.88,2.99,1.54,0.54,Iris-setosa
4.37,3.11,1.14,0.45,Iris-setosa
4.46,3.7,1.26,0.2,Iris-setosa
5.7,2.34,1.39,0.11,Iris-setosa
5.03,3.35,1.29,0.17,Iris-setosa
4.86,3.71,1.7,0.37,Iris-setosa
5.18,2.72,1.26,0.18,Iris-setosa
4.67,2.77,1.47,0.38,Iris-setosa
5.72,2.71,1.58,0.51,Iris-setosa
5.14,2.84,1.24,0.12,Iris-setosa
4.76,3.86,1.04,0.21,Iris-setosa
5.36,3.94,1.41,0.45,Iris-setosa
4.88,2.64,1.36,0.39,Iris-setosa
5.72,2.44,1.46,0.26,Iris-setosa
5.06,2.35,1.28,0.51,Iris-setosa
5.13,3.25,1.26,0.25,Iris-setosa
4.87,4.05,1.87,0.32,Iris-setosa
4.89,4.08,1.38,0.38,Iris-setosa
4.65,3.86,1.48,0.5,Iris-setosa
5.47,2.75,1.64,0.5,Iris-setosa
4.82,2.66,1.0,0.33,Iris-setosa
4.83,3.47,1.17,0.53,Iris-setosa
4.69,2.78,1.43,0.35,Iris-setosa
4.62,2.87,1.15,0.46,Iris-setosa
5.46,3.27,1.64,0.47,Iris-setosa
4.51,4.33,1.74,0.2,Iris-setosa
4.58,2.56,1.12,0.47,Iris-setosa
5.0,3.94,1.67,0.4,Iris-setosa
5.33,2.34,1.28,0.42,Iris-setosa
4.31,2.37,1.77,0.44,Iris-setosa
4.7,3.74,1.71,0.25,Iris-setosa
4.35,4.26,1.31,0.15,Iris-setosa
5.04,3.91,1.2,0.23,Iris-setosa
4.66,4.38,1.18,0.39,Iris-setosa
5.69,2.61,1.87,0.57,Iris-setosa
5.63,2.75,1.57,0.48,Iris-setosa
5.78,2.68,1.69,0.27,Iris-setosa
4.56,3.18,1.71,0.33,Iris-setosa
5.11,4.39,1.36,0.41,Iris-setosa
4.85,3.12,1.63,0.57,Iris-setosa
5.11,3.91,1.08,0.21,Iris-setosa
5.05,2.34,1.23,0.36,Iris-setosa
4.32,2.86,1.46,0.39,Iris-setosa
5.69,3.66,1.37,0.57,Iris-setosa
5.48,2.72,1.12,0.44,Iris-setosa
5.14,3.96,1.66,0.41,Iris-setosa
5.78,3.42,1.1,0.51,Iris-setosa
4.68,3.93,1.86,0.45,Iris-setosa
5.19,3.27,1.33,0.28,Iris-setosa
5.25,3.88,1.61,0.2,Iris-setosa
5.04,3.96,1.43,0.37,Iris-setosa
5.46,3.69,1.37,0.55,Iris-setosa
4.54,4.39,1.11,0.11,Iris-setosa
5.64,2.81,1.66,0.51,Iris-setosa
5.59,4.38,1.26,0.46,Iris-setosa
4.47,3.15,1.76,0.28,Iris-setosa
5.19,3.36,1.58,0.59,Iris-setosa
4.38,3.51,1.78,0.34,Iris-setosa
4.42,3.48,1.3,0.18,Iris-setosa
5.57,3.4,1.84,0.5,Iris-setosa
5.34,2.31,1.39,0.2,Iris-setosa
5.67,2.67,1.26,0.36,Iris-setosa
4.7,2.74,1.54,0.14,Iris-setosa
4.39,3.08,1.65,0.38,Iris-setosa
4.93,3.49,1.33,0.57,Iris-setosa
4.38,3.71,1.8,0.5,Iris-setosa
4.58,2.92,1.65,0.14,Iris-setosa
5.52,3.81,1.66,0.15,Iris-setosa
5.38,3.73,1.75,0.12,Iris-setosa
4.33,3.08,1.13,0.38,Iris-setosa
5.68,3.12,1.76,0.1,Iris-setosa
4.55,2.36,1.3,0.55,Iris-setosa
4.45,3.57,1.41,0.57,Iris-setosa
4.48,2.75,1.03,0.32,Iris-setosa
4.72,4.13,1.54,0.41,Iris-setosa
5.1,2.49,1.4,0.6,Iris-setosa
5.55,4.18,1.74,0.15,Iris-setosa
4.64,2.31,1.27,0.15,Iris-setosa
5.01,3.72,1.79,0.47,Iris-setosa
5.71,2.41,1.01,0.43,Iris-setosa
4.73,2.83,1.3,0.23,Iris-setosa
5.07,3.22,1.46,0.44,Iris-setosa
4.88,2.83,1.15,0.27,Iris-setosa
5.41,3.89,1.6,0.22,Iris-setosa
5.18,3.5,1.44,0.37,Iris-setosa
5.04,3.49,1.64,0.15,Iris-setosa
5.42,2.59,1.06,0.59,Iris-setosa
5.74,2.43,1.4,0.19,Iris-setosa
5.03,4.04,1.86,0.42,Iris-setosa
4.83,3.57,1.28,0.55,Iris-setosa
5.61,3.47,1.29,0.25,Iris-setosa
4.35,4.01,1.41,0.26,Iris-setosa
5.01,4.02,1.11,0.53,Iris-setosa
5.65,4.29,1.36,0.21,Iris-setosa
4.86,3.0,1.16,0.4,Iris-setosa
5.01,4.12,1.03,0.42,Iris-setosa
5.44,3.89,1.8,0.46,Iris-setosa
5.69,3.0,1.45,0.11,Iris-setosa
4.31,2.8,1.09,0.23,Iris-setosa
4.57,2.36,1.82,0.1,Iris-setosa
5.4,2.62,1.82,0.55,Iris-setosa
5.28,3.71,1.0,0.59,Iris-setosa
5.62,4.18,1.59,0.27,Iris-setosa
5.64,2.91,1.51,0.15,Iris-setosa
5.68,2.6,1.2,0.38,Iris-setosa
5.45,3.6,1.21,0.1,Iris-setosa
5.44,4.37,1.73,0.33,Iris-setosa
5.66,3.16,1.47,0.34,Iris-setosa
4.97,3.93,1.47,0.26,Iris-setosa
4.69,2.38,1.52,0.21,Iris-setosa
4.52,3.67,1.61,0.48,Iris-setosa
5.06,4.18,1.84,0.5,Iris-setosa
5.25,2.94,1.88,0.24,Iris-setosa
4.6,3.23,1.05,0.59,Iris-setosa
5.18,3.47,1.59,0.35,Iris-setosa
4.35,3.59,1.64,0.31,Iris-setosa
5.44,2.78,1.2,0.18,Iris-setosa
4.86,4.08,1.75,0.29,Iris-setosa
5.18,3.81,1.22,0.18,Iris-setosa
5.76,3.6,1.88,0.27,Iris-setosa
5.35,2.77,1.24,0.36,Iris-setosa
4.78,2.65,1.24,0.12,Iris-setosa
5.36,3.33,1.08,0.19,Iris-setosa
4.45,3.59,1.08,0.48,Iris-setosa
4.33,2.82,1.8,0.46,Iris-setosa
4.41,4.02,1.44,0.52,Iris-setosa
5.2,3.73,1.89,0.22,Iris-setosa
5.24,3.27,1.04,0.11,Iris-setosa
4.48,3.66,1.51,0.38,Iris-setosa
4.35,3.29,1.83,0.3,Iris-setosa
5.24,3.94,1.71,0.36,Iris-setosa
5.59,3.12,1.8,0.22,Iris-setosa
4.72,2.41,1.72,0.31,Iris-setosa
4.64,2.79,1.81,0.52,Iris-setosa
5.13,3.59,1.43,0.3,Iris-setosa
5.67,2.56,1.38,0.27,Iris-setosa
5.05,3.26,1.47,0.17,Iris-setosa
5.07,2.81,1.17,0.13,Iris-setosa
5.44,3.2,1.56,0.46,Iris-setosa
5.32,3.29,1.35,0.29,Iris-setosa
5.26,3.34,1.76,0.54,Iris-setosa
4.56,2.59,1.57,0.25,Iris-setosa
4.33,4.17,1.2,0.56,Iris-setosa
